epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.23339875162392854,0.8982489055659787,0.19202866014179396,0.9086398131932283,0.0001
2,0.17161163415759803,0.9278298936835522,0.19603216308072055,0.9144775248102743,0.0001
3,0.14465882270038127,0.9386491557223264,0.2165467769463484,0.9115586690017513,0.0001
4,0.13129613091424108,0.9454659161976235,0.1958331962154455,0.9179801517805021,0.0001
5,0.11631890350673348,0.9545966228893058,0.16946190920289492,0.9264448336252189,0.0001
6,0.11645559968426823,0.9544090056285178,0.15033186694208947,0.9299474605954466,0.0001
7,0.10346504393499345,0.958223889931207,0.1911929330841236,0.9185639229422067,0.0001
8,0.10101755099371075,0.9607254534083802,0.17763856316645915,0.9232340922358435,0.0001
9,0.09681530179549008,0.9619762351469668,0.18187805246338098,0.9194395796847635,0.0001
10,0.09499223266588525,0.9625390869293309,0.1333991420238413,0.9401634559252773,0.0001
11,0.08899129080586135,0.9654158849280801,0.1652720061426378,0.9331582019848219,0.0001
12,0.08749599353293888,0.9660412757973733,0.16040531418597567,0.9264448336252189,0.0001
13,0.08363477928424254,0.9666666666666667,0.11893844152953825,0.9442498540572096,0.0001
14,0.07976745248492807,0.9680425265791119,0.1469364106657883,0.9366608289550497,0.0001
15,0.08128746734932064,0.9682301438398999,0.15473082383262554,0.9281961471103327,0.0001
16,0.07724732882995158,0.9681676047529706,0.15734601465964643,0.9331582019848219,0.0001
17,0.07947358861379325,0.968792995622264,0.14816409731780839,0.9343257443082311,0.0001
18,0.07358758482598933,0.9694809255784865,0.13908540833616115,0.9375364856976065,0.0001
19,0.07646862274967134,0.9694183864915572,0.16425516079250344,0.9302393461762989,0.0001
20,0.0618341442461824,0.9747342088805503,0.1507937819888241,0.9410391126678342,5e-05
21,0.06037835957703646,0.9749843652282677,0.15859719250161522,0.9416228838295388,5e-05
22,0.0559432050480973,0.9776110068792996,0.12371203197867561,0.9500875656742557,5e-05
23,0.058779662985820325,0.9767354596622889,0.12598806710928617,0.9486281377699942,5e-05
24,0.05360933230200317,0.9784240150093808,0.14430899885526352,0.9454173963806188,5e-05
25,0.053067737035802566,0.9795497185741088,0.125613804480347,0.9474605954465849,5e-05
26,0.046865264604768524,0.9814884302689181,0.13681818194048964,0.9489200233508465,2.5e-05
27,0.04475822739501018,0.981676047529706,0.13772510603173183,0.950379451255108,2.5e-05
28,0.0442907044540043,0.9833020637898686,0.1151238851144546,0.9553415061295972,2.5e-05
29,0.043791562840662664,0.9819887429643527,0.1285340503387731,0.9515469935785172,2.5e-05
30,0.042220537173343474,0.9829268292682927,0.12407909416508793,0.9527145359019265,2.5e-05
31,0.038099742299091306,0.9839899937460913,0.10993232745664991,0.9597197898423818,2.5e-05
32,0.038047146804958173,0.98411507191995,0.11811824807972592,0.9603035610040864,2.5e-05
33,0.040517120497999715,0.983739837398374,0.13308614447175607,0.9527145359019265,2.5e-05
34,0.035449005921436766,0.9863039399624766,0.10376450736328732,0.9611792177466433,2.5e-05
35,0.03607199947715344,0.9846153846153847,0.1224406152690256,0.9573847051955633,2.5e-05
36,0.03693719928898645,0.9849906191369606,0.10415660097861422,0.9597197898423818,2.5e-05
37,0.03453402661153086,0.9862414008755472,0.10778097184773097,0.9600116754232341,2.5e-05
38,0.034585031466041985,0.9864290181363352,0.1159750599288963,0.9550496205487449,2.5e-05
39,0.03478632206050861,0.9863039399624766,0.12323104831036852,0.9532983070636311,2.5e-05
40,0.0321382320124394,0.9870544090056285,0.12532301444634483,0.9524226503210741,2.5e-05
41,0.030791500051578623,0.9877423389618512,0.11714647812702933,0.9559252772913018,1.25e-05
42,0.028294727476059052,0.9883677298311445,0.10757463625049236,0.9632224168126094,1.25e-05
43,0.02565903572086245,0.9899312070043778,0.10924018803603194,0.9611792177466433,1.25e-05
44,0.02701586673725251,0.9899937460913071,0.11957888477800506,0.9597197898423818,1.25e-05
45,0.02597406728651731,0.9902439024390244,0.1296875674534904,0.9582603619381203,1.25e-05
46,0.025757099736782037,0.9898061288305191,0.13119137878814757,0.9591360186806772,1.25e-05
47,0.02509945210727892,0.9904940587867417,0.12155571731617529,0.9600116754232341,6.25e-06
48,0.022470277908465505,0.9911819887429644,0.12262364868493342,0.9623467600700525,6.25e-06
49,0.02360193895086195,0.9914321450906817,0.11828409827938022,0.9617629889083479,6.25e-06
50,0.024421526396217814,0.9898686679174484,0.10946959062870684,0.9629305312317572,6.25e-06
51,0.02144792065837828,0.9919949968730456,0.11668333843161362,0.9614711033274956,6.25e-06
52,0.021508593505954195,0.9918073796122576,0.12167789179855139,0.9600116754232341,6.25e-06
53,0.021464663981965715,0.9912445278298937,0.11515151677116453,0.9611792177466433,3.125e-06
54,0.020355368507849563,0.992245153220763,0.11752020084898845,0.9605954465849387,3.125e-06
