architecture,accuracy,balanced_accuracy,macro_f1,mcc,roc_auc,pr_auc,inference_ms
resnet152,0.981074,0.98065,0.981002,0.962093,0.997947,0.997999,
resnet50,0.973003,0.971835,0.972852,0.946473,0.995404,0.995466,
densenet121,0.969942,0.968443,0.969746,0.94078,0.99528,0.9954,
efficientnet_b0,0.968272,0.967503,0.968128,0.936549,0.996136,0.995989,
resnet18,0.966323,0.965074,0.966129,0.93311,0.996211,0.996144,
densenet201,0.965488,0.964405,0.965305,0.93123,0.994836,0.994789,
resnet101,0.962984,0.961142,0.962706,0.927346,0.995423,0.995428,
vgg19,0.957696,0.955823,0.957376,0.91671,0.994008,0.993964,
mobilenet_v2,0.949624,0.947253,0.949164,0.90148,0.992533,0.992502,
alexnet,0.944058,0.940996,0.943405,0.892165,0.993077,0.993225,
vgg16,0.932368,0.929302,0.931587,0.868349,0.987449,0.987367,
inception_v3,0.693293,0.707459,0.677753,0.4765,0.845525,0.811993,
